date;insee;tH2_obs;capeinsSOL0;ciwcH20;clwcH20;ddH10_rose4;ffH10;flir1SOL0;fllat1SOL0;flsen1SOL0;flvis1SOL0;hcoulimSOL0;huH2;iwcSOL0;nbSOL0_HMoy;nH20;ntSOL0_HMoy;pMER0;rr1SOL0;rrH20;tH2;tH2_VGrad_2.100;tH2_XGrad;tH2_YGrad;tpwHPA850;ux1H10;vapcSOL0;vx1H10;ech;mois
09/01/2014;33281001;10,10;0,00;0,00;0,00;3.0;3,65;-247724,08;-3979,60;103026,36;0,00;492,06;88,71;0,00;0,00;0,00;7,91;1017,50;0,00;0,00;9,49;0,95;0,00;0,00;9,32;-3,77;14,66;4,22;1;janvier
09/01/2014;35281001;11,10;0,08;0,00;0,00;3.0;5,02;-72689,30;-21343,22;134560,65;0,00;774,34;93,74;0,00;7,32;0,00;7,96;1011,73;0,01;0,00;11,55;-0,33;0,00;0,00;11,54;2,53;22,28;8,81;1;janvier
09/01/2014;59343001;10,80;47,37;0,00;0,00;3.0;5,89;-74700,74;3737,70;130608,47;0,00;455,50;94,86;0,00;4,92;0,06;8,00;1010,98;0,30;0,01;10,79;-0,32;0,00;0,00;11,23;2,75;23,74;10,52;1;janvier
09/01/2014;67124001;7,20;49,59;0,00;0,00;3.0;5,16;-125349,27;11700,90;107848,35;0,00;135,74;89,51;0,00;0,09;0,00;8,00;1017,22;0,00;0,00;8,38;1,24;0,00;0,00;11,58;-0,25;20,33;7,22;1;janvier
09/01/2014;75114001;11,00;0,01;0,00;0,00;3.0;3,46;-135451,28;1256,40;40689,59;0,00;517,82;82,38;0,00;0,00;0,00;8,00;1013,58;0,00;0,00;11,17;-0,50;0,00;0,00;10,49;-0,22;18,91;6,61;1;janvier
10/01/2014;6088001;8,10;0,45;0,00;0,00;4.0;1,70;-248827,12;-59670,74;-43729,67;0,00;15,73;99,21;0,00;0,90;7,23;4,53;1018,58;0,00;0,00;8,72;0,80;0,00;0,00;9,63;3,04;14,08;-3,38;1;janvier
10/01/2014;31069001;7,60;0,00;0,00;0,00;3.0;3,40;-219922,87;41356,17;79799,31;0,00;221,13;91,80;0,00;0,44;0,00;0,44;1019,59;0,00;0,00;8,23;0,02;0,00;0,00;11,00;-2,77;17,23;4,96;1;janvier
10/01/2014;33281001;4,60;0,00;0,00;0,00;3.0;1,78;-161717,05;15217,04;15825,26;0,00;10,00;95,63;0,00;3,32;0,07;3,32;1019,32;0,00;0,00;5,29;4,25;0,00;0,00;10,28;0,80;18,85;1,89;1;janvier
10/01/2014;35281001;3,20;0,83;0,00;0,00;3.0;1,84;-9342,96;-16939,40;-25479,50;0,00;118,27;98,35;0,00;7,85;8,00;7,90;1018,46;0,00;0,00;4,04;-0,75;0,00;0,00;3,46;1,78;8,85;2,48;1;janvier
10/01/2014;59343001;3,60;6,46;0,00;0,00;3.0;3,36;-270615,35;19234,46;79211,25;0,00;76,59;93,89;0,00;2,56;0,00;2,56;1015,26;0,00;0,00;3,77;1,39;0,00;0,00;3,31;3,90;9,59;3,78;1;janvier
10/01/2014;67124001;6,50;1,63;0,00;0,00;4.0;3,61;-98530,90;-43294,87;36220,48;0,00;752,24;87,83;0,00;2,98;0,00;4,93;1018,13;0,38;0,00;6,93;-0,02;0,00;0,00;5,58;3,70;13,55;3,66;1;janvier
10/01/2014;75114001;7,10;2,21;0,00;0,00;3.0;2,13;-186754,90;11368,85;18796,15;0,00;281,10;82,66;0,00;1,77;0,00;7,97;1017,87;0,00;0,00;7,17;-0,44;0,00;0,00;4,38;4,05;10,22;3,38;1;janvier
11/01/2014;6088001;9,90;0,71;0,00;0,00;1.0;1,69;-55731,72;-67967,20;-19220,39;0,00;341,52;83,62;0,00;5,62;0,00;5,62;1020,50;0,01;0,00;12,11;-0,55;0,00;0,00;9,61;1,73;16,71;-4,13;1;janvier
11/01/2014;31069001;9,70;0,00;0,00;0,00;3.0;4,41;-220026,60;12806,14;158560,56;0,00;610,91;88,03;0,00;3,44;0,00;6,78;1016,92;0,00;0,00;9,56;-0,33;0,00;0,00;9,90;-5,45;14,92;7,52;1;janvier
11/01/2014;33281001;7,70;0,00;0,00;0,00;4.0;2,60;-168110,15;33825,81;31102,20;0,00;79,71;98,72;0,00;4,14;1,67;4,16;1016,00;0,00;0,00;6,61;3,90;0,00;0,00;10,08;1,79;16,33;1,97;1;janvier
11/01/2014;35281001;7,10;7,71;0,00;0,00;2.0;1,98;-11805,63;-6155,62;-13543,88;0,00;147,81;99,08;0,00;8,00;4,30;8,00;1016,43;0,05;0,00;6,99;-0,72;0,00;0,00;8,12;-3,11;18,67;2,33;1;janvier
11/01/2014;59343001;4,20;0,74;0,00;0,00;3.0;5,09;-205881,64;-37164,42;33403,47;0,00;326,77;94,48;0,00;7,32;0,10;7,32;1016,68;0,00;0,00;3,44;-0,91;0,00;0,00;2,97;0,08;6,66;7,34;1;janvier
11/01/2014;67124001;-0,70;0,23;0,00;0,00;4.0;1,30;-51919,88;-12874,33;-28535,39;0,00;52,17;98,01;0,00;7,33;8,00;7,34;1019,66;0,00;0,00;0,04;3,95;-0,01;0,00;6,90;1,38;13,77;1,39;1;janvier
11/01/2014;75114001;6,00;1,26;0,00;0,00;3.0;1,40;-4012,63;2141,58;-31332,33;0,00;220,71;97,07;0,00;8,00;3,97;8,00;1017,34;0,00;0,00;5,72;-0,92;0,00;0,00;7,02;-2,27;16,26;1,45;1;janvier
12/01/2014;6088001;9,70;0,09;0,00;0,00;4.0;1,37;-290243,85;-48960,21;-9084,19;0,00;80,41;84,17;0,00;0,00;0,00;7,36;1021,23;0,00;0,00;12,26;-0,31;0,00;-0,01;9,08;2,69;17,64;-4,37;1;janvier
12/01/2014;31069001;10,10;0,41;0,00;0,00;2.0;2,89;-29243,36;14776,23;20221,24;0,00;373,84;94,80;0,00;7,90;0,16;7,92;1021,34;0,00;0,00;9,34;-0,74;0,00;0,00;9,59;-3,69;17,13;3,47;1;janvier
12/01/2014;33281001;6,50;0,00;0,00;0,00;2.0;2,47;-206469,74;35611,35;37152,77;0,00;46,09;97,95;0,00;6,16;2,57;6,16;1020,47;0,00;0,00;5,17;2,42;0,00;-0,01;9,17;-3,15;14,01;-0,99;1;janvier
12/01/2014;35281001;6,50;0,00;0,00;0,00;3.0;3,13;-45723,27;24478,90;36523,87;0,00;434,55;95,55;0,00;8,00;0,20;8,00;1021,56;0,00;0,00;5,83;-0,25;0,00;0,00;6,96;-3,17;11,32;3,64;1;janvier
12/01/2014;59343001;-0,50;0,00;0,00;0,00;3.0;1,20;-254103,02;3172,38;6674,52;0,00;10,00;90,84;0,00;0,00;0,00;0,03;1026,00;0,00;0,00;0,62;4,88;0,00;0,00;1,94;-0,11;5,48;1,28;1;janvier
12/01/2014;67124001;3,50;1,06;0,00;0,00;1.0;2,81;-15142,28;9653,45;24059,59;0,00;13,26;91,29;0,00;6,44;0,00;6,92;1026,07;0,00;0,00;5,13;1,80;0,00;0,00;3,52;-1,40;8,64;-2,82;1;janvier
12/01/2014;75114001;4,60;1,72;0,00;0,00;1.0;1,87;41370,62;12663,52;-33420,90;0,00;106,69;97,46;0,00;8,00;7,16;8,00;1025,53;0,00;0,00;3,03;-0,21;0,00;0,00;2,51;-0,03;5,14;-3,15;1;janvier
13/01/2014;6088001;9,10;0,37;0,00;0,00;4.0;2,64;-203811,91;-32162,23;-15991,47;0,00;75,06;93,87;0,00;0,63;0,05;0,71;1020,54;0,00;0,00;11,39;-0,43;0,00;-0,01;9,46;1,73;19,76;-3,75;1;janvier
13/01/2014;31069001;9,40;89,41;0,00;0,00;3.0;3,76;-9182,86;21123,64;63567,54;0,00;237,74;93,93;0,00;6,84;0,03;8,00;1020,57;2,15;0,02;9,64;-0,19;0,00;0,00;11,08;-0,92;23,38;6,59;1;janvier
13/01/2014;33281001;10,90;132,85;0,00;0,00;3.0;2,07;-41318,02;2573,22;14746,35;0,00;16,79;94,16;0,00;7,99;0,01;8,00;1019,41;0,02;0,00;10,60;0,39;0,00;0,00;8,76;0,41;21,07;3,70;1;janvier
13/01/2014;35281001;7,40;149,32;0,00;0,00;3.0;3,58;-248478,88;49752,87;85404,64;0,00;373,24;93,80;0,00;1,15;0,00;5,29;1014,95;0,00;0,00;7,16;1,43;0,00;0,00;6,45;2,86;15,32;4,56;1;janvier
13/01/2014;59343001;6,40;0,09;0,00;0,00;3.0;7,35;-176462,06;238,67;132831,88;0,00;702,16;94,94;0,00;7,85;0,11;7,97;1010,83;0,00;0,00;5,57;-0,21;0,00;0,00;9,56;2,79;18,75;10,53;1;janvier
13/01/2014;67124001;2,40;0,66;0,00;0,00;3.0;4,17;-13225,16;-15481,73;-26596,35;0,00;281,43;99,46;0,00;8,00;7,78;8,00;1018,71;0,00;0,00;1,61;-0,82;0,00;0,00;8,98;-0,38;12,36;6,57;1;janvier
13/01/2014;75114001;7,50;0,00;0,00;0,00;3.0;2,87;-100458,39;10113,19;58988,91;0,00;427,50;91,50;0,00;4,21;0,00;8,00;1013,84;0,00;0,00;7,31;0,00;0,00;0,00;9,65;-1,21;19,92;6,04;1;janvier
14/01/2014;6088001;9,40;100,68;0,00;0,00;1.0;1,89;-62556,54;-74584,70;-31900,18;0,00;866,49;86,96;0,00;8,00;0,00;8,00;1007,57;0,54;0,03;10,92;-1,17;0,00;0,00;9,81;-0,86;21,68;-4,49;1;janvier
14/01/2014;31069001;2,60;0,00;0,00;0,00;3.0;1,27;-237308,65;8460,77;3271,94;0,00;9,51;96,96;0,00;2,09;0,79;2,10;1012,52;0,00;0,00;2,83;2,04;0,00;0,00;5,65;0,07;10,88;2,14;1;janvier
14/01/2014;33281001;7,70;20,04;0,00;0,00;4.0;3,91;-37989,77;-93952,78;143097,96;0,00;1312,20;93,58;0,00;7,84;0,00;8,00;1010,05;4,49;0,24;7,71;-0,31;0,00;0,00;6,99;9,96;16,45;1,73;1;janvier
14/01/2014;35281001;4,10;2,48;0,00;0,00;4.0;3,24;-74796,81;-101804,12;53407,19;0,00;609,58;91,45;0,00;2,38;0,00;3,34;1004,28;0,03;0,00;5,31;-0,76;0,00;0,00;4,70;7,01;10,00;-3,79;1;janvier
14/01/2014;59343001;4,80;45,66;0,00;0,00;3.0;4,15;-210642,52;28426,68;82399,85;0,00;99,21;95,05;0,00;0,96;0,09;5,46;1004,30;0,00;0,00;4,20;1,11;0,00;0,00;5,34;-1,66;11,48;6,58;1;janvier
14/01/2014;67124001;4,60;0,32;0,00;0,00;3.0;1,85;566,17;6096,36;4268,72;0,00;127,97;99,78;0,00;7,99;8,00;8,00;1009,40;0,00;0,00;5,18;-0,64;0,00;0,00;7,22;-1,37;13,57;3,65;1;janvier
14/01/2014;75114001;5,60;10,31;0,00;0,00;3.0;4,35;-190672,33;9655,55;39722,72;0,00;481,71;85,21;0,00;4,63;0,00;7,83;1005,40;0,00;0,00;5,79;-0,77;0,00;0,00;6,08;-1,90;14,07;8,13;1;janvier
15/01/2014;6088001;6,40;0,16;0,00;0,00;1.0;0,67;-374087,70;-113947,71;-43367,22;0,00;11,59;70,50;0,00;0,04;0,00;0,04;1007,25;0,00;0,00;9,39;0,56;0,00;-0,01;5,66;1,80;9,82;-4,47;1;janvier
15/01/2014;31069001;5,30;34,26;0,00;0,00;4.0;4,14;-93604,36;32907,98;80725,56;0,00;167,48;93,28;0,00;5,75;0,02;5,79;1017,13;0,00;0,00;5,80;0,15;0,00;0,00;4,56;6,17;14,27;-1,38;1;janvier
15/01/2014;33281001;5,40;0,30;0,00;0,00;3.0;2,38;-125470,70;10716,30;36543,70;0,00;79,09;94,20;0,00;5,98;0,02;7,56;1015,67;0,00;0,00;4,31;2,73;0,00;0,00;8,14;-0,39;17,03;3,70;1;janvier
15/01/2014;35281001;7,80;9,41;0,00;0,00;3.0;5,91;-2908,43;-49037,46;123251,62;0,00;333,89;94,49;0,00;8,00;0,05;8,00;1008,54;0,10;0,03;7,98;-0,43;0,00;0,00;10,51;1,56;20,12;11,04;1;janvier
